ИМЕ НА МАРКЕТ,НАЗИВ НА ПРОИЗВОД,ПРОДАЖНА ЦЕНА,ЕДИНЕЧНА ЦЕНА,ОПИС НА ПРОИЗВОД,ДОСТАПНОСТ НА ПРОИЗВОД,РЕДОВНА ЦЕНА,ЦЕНА СО ПОПУСТ,ПОЕНИ,ТИП НА АКЦИЈА,ВРЕМЕТРАЊЕ НА АКЦИЈА
vardar,K2K206 ТАПИС 600МЛ. ПРЕПАРАТ ЗА ЧИСТЕЊЕ НА ТЕКСТИЛ,255.00,1 ПАРЧЕ = 255ДЕН,ПРОИЗВОДИ ЗА ЧИСТЕЊЕ АВТОМОБИЛ,ДА,,,,,
vardar,K2PW10 КЛИМА ДОКТОР 500МЛ.,369.00,1 ПАРЧЕ = 369ДЕН,ПРОИЗВОДИ ЗА ЧИСТЕЊЕ АВТОМОБИЛ,ДА,,,,,
vardar,KAРНЕКС ШПАГЕТИ БОЛОЊЕЗЕ 400 ГР,185.00,100 ГР: =46.25ДЕН,ДОМАТЕН СОС,ДА,,,,,
vardar,KОЛГЕЈТ ТЕЧНОСТ ЗА УСТА СИНА 250МЛ.,165.00,100 МЛ: =66ДЕН,ТЕЧНОСТ ЗА УСТА,ДА,,,,,
vardar,KОТОНЕВЕ 1213-ЦВ ЛУФА ЗА КАПЕЊЕ,149.00,1 ПАРЧЕ =149ДЕН,ЛУФА ЗА БАЊАЊЕ,ДА,,,,,
vardar,KОТОНЕВЕ 360 ЦВ СУНЃЕР ЗА КАПЕЊЕ,199.00,1 ПАРЧЕ =199ДЕН,СУНЃЕР ЗА КАПЕЊЕ,ДА,,,,,
vardar,KРАМБАЛС БРУСКЕТИ СО ДОМАТИ И МОЦАРЕЛА 70 ГР,47.00,100 ГР: =67.14ДЕН,КРЕКЕР,ДА,,,,,
vardar,M КРОФНА ОБЛОЖЕНА СО ВКУС НА ЈАГОДА 2Х25ГР,25.00,100 ГР: =50ДЕН,ТОРТИЦИ,ДА,,,,,
vardar,M КРОФНА ОБЛОЖЕНА СО КАКАО СО ВКУС НА МЛЕКО 2Х25ГР,25.00,100 ГР: =50ДЕН,ТОРТИЦИ,ДА,,,,,
vardar,M САЛЕП 20ГР,15.00,100 ГР: =75ДЕН,САЛЕП,ДА,,,,,
vardar,MAGGI ПИЛЕШКА КОЦКА 10Г,14.00,100 ГР: =140ДЕН,КОЦКА ЗА СУПА,ДА,,,,,
vardar,MAX ПЕГЛА НА ПАРЕА EI3200,1999.00,1 ПАРЧЕ =1999ДЕН,ОБЛИКУВАЧ НА КОСА,ДА,,,,,
vardar,MЕГЛЕ ПАВЛАКА ЗА ГОТВЕЊЕ 20% 750МЛ,259.00,100 МЛ: =34.53ДЕН,СОЛЕНА ПАВЛАКА ЗА ГОТВЕЊЕ,ДА,,,,,
vardar,STR8 НАТУРАЛ СПРЕЈ ГЕЈМ 85ML,297.00,100 МЛ: =349.41ДЕН,ДЕО СПРЕЈ,ДА,,,,,
vardar,TETA ВИОЛЕТА ОМЕКНУВАЧ ОРИГИНАЛ 1700ML.,267.00,100 МЛ: =10.88ДЕН,ОМЕКНУВАЧ ЗА АЛИШТА,ДА,,,,,
vardar,TETРATKA A5 ЛИНИЈА 52 ЛИСТА,35.00,1 ПАРЧЕ =35ДЕН,ТЕТРАТКА,ДА,,,,,
vardar,TАМПОНИ ЗА УШИ 4 ПАР.,102.00,1 ПАРЧЕ =102ДЕН,ТАМПОНИ ЗА УШИ,ДА,,,,,
vardar,А ЗОШТО? (СТЕЛА И САНИ) – БИСТРА ГЕОРГИЕВА,200.00,1 ПАРЧЕ = 200ДЕН,ДЕТСКИ КНИГИ,ДА,,,,,
vardar,А-942 ЈАЈЦА НА СТАПЧЕ,49.00,1 ПАРЧЕ =49ДЕН,ВЕЛИГДЕНСКИ УКРАСИ,ДА,,,,,
vardar,А-943 ПИЛЕ НА СТАПЧЕ,59.00,1 ПАРЧЕ =59ДЕН,ВЕЛИГДЕНСКИ УКРАСИ,ДА,,,,,
vardar,АБЕРЛОР 12Г ДАБЛ КЕСК 40% 0.7Л,4889.00,1 ПАРЧЕ =4889ДЕН,ВИСКИ,ДА,,,,,
